experiment_id,agent_type,outcome,duration_s,inconsistencies_count,strategies_used,seed,failure_rate
BASE-42,baseline,failure,4.85,0,none,42,0.3
PLAY-42,playbook,success,14.39,0,none,42,0.3
BASE-43,baseline,inconsistent,5.69,1,none,43,0.3
PLAY-43,playbook,success,7.97,0,none,43,0.3
BASE-44,baseline,failure,4.77,0,none,44,0.3
PLAY-44,playbook,success,10.84,0,none,44,0.3
BASE-45,baseline,failure,5.0,0,none,45,0.3
PLAY-45,playbook,success,15.87,0,none,45,0.3
BASE-46,baseline,success,4.54,0,none,46,0.3
PLAY-46,playbook,success,11.15,0,none,46,0.3
